appID,title,manual_label,capabilities
com.jlzb.android,Find help with mobile phone positioning,Y,"Locate, Control, Access, Share, Record"
com.unking.weiguanai,Mobile phone positioning family micro-care,Y,"Locate, Control, Access, Share, Record"
com.maigesi.panda.client,Panda remote control,Y,"Control, Access, Share, Record"
com.cjkj.oldphonetool,Old phone toolbox,Y,"Control, Access, Share, Record"
com.ooyun.zongapp,Cloud tracking mobile phone location and tracing,Y,"Locate, Access, Share, Record"
com.vip186.neteye,Volkswagen Electronic Eye,Y,"Access, Share, Record"
com.vip186.mm_neteye,Phone monitoring,Y,"Access, Share, Record"
com.phone.recording,Phone recording treasure,Y,"Access, Share, Record"
com.xmy.telephonerecording,Telephone recording expert,Y,"Access, Share, Record"
com.dont.touch.phone.mobile.cell.security.alarm,Spy Cam – Secret Video Recorder,Y,"Access, Share, Record"
com.ifeimo.audiorecord,Recording master,Y,"Access, Share, Record"
com.macrovideo.v380,V380,Y,"Access, Share, Record"
com.seetong.app.seetong,In the shoe,Y,"Control, Access, Record"
com.zhongan.papa,Afraid of,Y,"Locate, Access, Record"
com.mobile.myeye.pro,Surveillance Eye Pro,Y,"Access, Record"
com.boldbeast.recorder,Beast recording software,Y,"Access, Record"
com.auto.callrecord,Automatic call recorder,Y,"Access, Record"
com.XXXX.callrecorder,Smart phone recording,Y,"Access, Record"
com.call.wldhly,Telephone recording for evidence,Y,"Access, Record"
com.xiao.telrecord,Universal telephone recorder,Y,"Access, Record"
com.amcompany.callrecordsmamistalopp,Phone recorder,Y,Record
com.no.yossqqqo9845,Call Recording & Phone Recoder,Y,Record
com.meizu.flyme.find,Find phone,Y,"Locate, Control, Access, Share"
com.location.shy,Cell phone location and tracking,Y,"Locate, Share"
org.zywx.wbpalmstar.widgetone.uexaaagg10001,Security guard,Y,"Locate, Share"
com.mpp.dwgzq,Location tracker,Y,"Locate, Share"
com.tech.xuyang.qianliyan,Time position,Y,"Locate, Share"
com.lazymc.smstoemail,My Letter-SMS Forwarding Assistant,Y,Share
com.lanrensms.appxm,Lazy SMS Forwarding,Y,Share
com.lvyatech.wxapp.smstowx,Green Bud SMS Forward WeChat,Y,Share
com.samge.ste,SMS to Email Assistant,Y,Share
com.gawk.smsforwarder.europe,Automatically forward SMS to email/phone,Y,Share
app.geoloc.huawei,GeoLoc — Family Tracker + Baby Monitor Online,Y,"Locate, Control, Access"
ua.com.tim_berners.parental_control.huawei,Parental Control Kroha - Screen Time,Y,"Locate, Control, Access"
com.oray.sunlogin,Sunflower remote control,Y,"Locate, Control, Access"
com.xtc.watch,Little genius,Y,"Locate, Control, Access"
com.imibaby.client,Rice rabbit,Y,"Locate, Control, Access"
com.papenmeier.wifibabymonitor.free,WiFi baby monitor,Y,"Control, Access"
com.arjonasoftware.babycam,BabyCam-baby monitor camera,Y,"Control, Access"
com.szlclient.Main,Mangosteen remote control,Y,"Control, Access"
com.vip186.wise_camera,Eye Guardian,Y,
com.readboy.smartwatch,Phone watch,Y,"Locate, Control"
com.gwchina.lssw.child,Gray box child side,Y,Control
com.pengjing.wkshkid,Goku protects the children,Y,Control
com.lxq.applocker,Anti-addiction app lock,Y,Control
com.cjtec.remoteassis,Mobile remote assistance control,Y,Control
com.aish.growth.child,Grow and protect children,Y,Control
com.lovecx.worry,Parent-child guarding the child&#39;s side,Y,Control
com.vivo.familycare,Child guard,Y,Control
com.baidu.aihome.children,Baidu Mobile Guardian Child End,Y,Control
com.baidu.aihome,Baidu Mobile Guardian Home Edition,Y,Control
com.qihoo.srouter.n300,360 home firewall,Y,Control
com.qustodio.qustodioapp,Qustodio for children,Y,Control
com.svw.dvr,SAIC Volkswagen recorder client,Y,Control
com.map.pamap,Professional mobile phone positioning,Y,Locate
com.wenyi.sjdw,Mobile phone number location tracking,Y,Locate
org.zywx.wbpalmstar.widgetone.uexaaagg10013,Caring and guarding,Y,Locate
com.jimetec.xunji,Tracker,Y,Locate
com.location.add,Mobile phone number locating and tracing to find someone,Y,Locate
com.broaddeep.safe.childrennetguard,Sunshine Guardian,Y,Locate
com.hkx.youandme,Lovers me and you,Y,Locate
iris.phonelocation,Mobile phone number positioning,Y,Locate
com.vbhappy.easyfind,Easy to find,Y,Locate
com.hgj.truckposition,Truck positioning,Y,Locate
mg.locations.track5,Phone Tracker by Number,Y,Locate
com.hulahoop.android,GoLocator: Family Location Finder,Y,Locate
com.destinationalarm,Location alert / GPS alert,Y,Locate
com.yafursolutions.offlinelocationapp,Offline Location App,Y,Locate
org.findmykids.child,Bingbao comes from the child who found me,Y,Locate
com.fblhb.weizshuizongzhushourj,Location tracking assistant,Y,Locate
com.xdsznkjdwxm.weizhizhuizongqi,mSpy finds the location of my friend,Y,Locate
com.xfc.tools,GPS Tools,Y,Locate
com.assmart.location,Location tracking,Y,Locate
com.szytdingwei,Mobile location location sharing,Y,Locate
cn.yunxiao.positionzz,Turn around,Y,Locate
com.find.discoveryou,find you,Y,Locate
com.zhaidai.zdloc,Mobile phone positioning to find the location,Y,Locate
com.android.location.findta,Positioning master,Y,Locate
com.ppkj.ppcontrol,Mobile phone positioning,Y,Locate
com.fun.yiqiwan.gps,Where is the GPS,Y,Locate
com.track.puma,Positioning treasure,Y,Locate
com.agentybt.phonelocation,Partner mobile phone location to find someone,Y,Locate
com.wzwz.dingweishouhu,Mobile phone positioning guardian,Y,Locate
com.ls2021.locaitonpeople,Accurate mobile phone positioning to find people,Y,Locate
com.hua.fei.phone.location,Find someone expert on mobile phone positioning,Y,Locate
com.hjw.tajiapp,Keep track of mobile phone positioning,Y,Locate
com.fnmei.baobei,Cell phone positioning baby,Y,Locate
com.flakesnet.kuaidingwei,Fast phone positioning,Y,Locate
com.yongsi.location,Mobile phone positioning companion,Y,Locate
com.guming.location.lddw,Radar accurate mobile phone positioning,Y,Locate
com.cooshare.ax360,Anxin 360 mobile phone positioning software,Y,Locate
com.tx.location,Guardian Wizard mobile phone location tracking,Y,Locate
com.lt.xj,Mobile phone location tracking-location tracking to protect the family,Y,Locate
app.alpify,Safe365,Y,Locate
brunnlechner.gps.zeiterfassungpro,GPS Time Tracker - logbook Pro,Y,Locate
com.location.ssd,"Find people fast, find friends, cell phone location",Y,Locate
com.twx.androidposition,Locate and find a helper,Y,Locate
com.shichai.gat,Guan Ai Tong,Y,Locate
com.flakesnet.zhuiyingdingwei,Tracking and positioning,Y,Locate
com.yifan.dingwei,Mobile phone location tracking,Y,Locate
com.sichang.wuhan,Cell phone tracking,Y,Locate
com.hc.friendtrack,Mobile phone location tracking,Y,Locate
com.newandromo.dev631029.app807991,Find My Phone,Y,Locate
cn.dlapp.navigation,GPS mobile navigation,Y,Locate
com.bd.easytraxstandard,Easytrax GPS Tracking,Y,Locate
com.bd.pro.easytraxstandard,Easytrax GPS Pro,Y,Locate
com.as.gpstracker,GPS Tracker,Y,Locate
com.swfinder.activity,All Tracker,Y,Locate
com.smart.tracker.easy_tracker_cn,Easy Tracker,Y,Locate
com.yudankeji.jtt,Family pass,Y,Locate
luo.speedometergps,GPS dashboard,N,
com.baidu.BaiduMap,Baidu map,N,
com.autonavi.minimap,Gaode Map,N,
com.ovital.ovitalMap,Ovi Interactive Map,N,
com.tencent.map,Tencent map,N,
com.sanren.gps,Altitude altitude GPS compass,N,
com.leduoworks.gpstoolbox,GPS toolbox,N,
com.tencent.qqlive,Tencent Video,N,
com.zhongduomei.rrmj.society,Renren Video,N,
com.ss.android.article.video,Watermelon video,N,
com.qiyi.video.pad,IQiyi Pad,N,
com.funshion.video.mobile,Popular video,N,
com.pplive.androidphone,PP video (original juli video),N,
com.kandian.vodapp,Watch the movie quickly,N,
com.cmcc.cmvideo,Migu video,N,
com.baidu.video,Baisou Video,N,
com.youku.phone,Youku Video,N,
com.tudou.android,Potato video,N,
tv.danmaku.bili,Bilibili,N,
com.jason.freenavigationvoice,Voice navigation,N,
com.xiguakeji.bddh,Beidou Navigation,N,
com.neptune.tmap,Beidou Navigation Map,N,
space.xinzhi.map,Xinzhi Satellite Map,N,
com.bdwxdhxt.hongcaitong,Beidou map navigation,N,
com.mida.messagehelper,SMS folder,N,
net.joydao.spring2011,Blessing message,N,
com.terry.smsreceiver,SMS verification code collection,N,
com.jtjsb.ldqdx,Incoming call to SMS,N,
com.feiin.wldh,Free wifi phone,N,
com.shyltts,Read SMS and caller&#39;s name,N,
com.cslk.yunxiaohao,Cloud Trumpet,N,
com.juhuicall.packet,Love to call and save money,N,
com.sms.zhuyun.myapplication,SMS group sending assistant,N,
com.shyz.toutiao,Clean up master,N,
com.heyi.cleanmaster,One-click cleaning,N,
com.robust.aide,Powerful Cleaner Plus,N,
com.steward.memory,Memory steward,N,
com.iwanyue.cleanmaster,Powerful Cleaner,N,
com.tencent.qqpimsecure,Tencent Mobile Manager‚ÄîQQ WeChat Protection,N,
cn.rball.fastcleanmaster,Speed Clean Master,N,
com.clock.graywolf.idocleaner,Memory cleaning,N,
imoblife.toolbox.full,Almighty Toolbox,N,
com.zlkj.cjszgj,Speedy mobile phone butler,N,
com.melon.clean,Extremely fast cleaning,N,
com.mida.soundtools,Sonic Cleaner,N,
com.kj.beautypart,Honey Talk Dating App,N,
com.founder.maanshan,Immediately app,N,
com.hetaohtsn.app,Walnut APP,N,
com.jifen.dandan,Easter egg video-a short video app that can make money while lying down,N,
com.mcdonalds.gma.cn,McDonald&#39;s official mobile phone ordering app,N,
cn.tk.online,Taikang Online APP,N,
com.hongyue.app,Hongyue APP,N,
com.infothinker.gzmetro,Official App of Guangzhou Metro,N,
net.duohuo.magapp.fenkn,Canon app,N,
com.youjiu.srdz,Instant Weather App,N,
com.my.shengqian,Money saving app,N,
com.my.fanli,Rebate app,N,
com.caict.xingchengka,Communication itinerary card,N,
com.enqualcomm.kids.cyp,Watermelon rind,N,
com.syt.youqu,Circle of friends every day,N,
com.pggmffe.xdfw,Good friend&#39;s house in Toka town,N,
com.zsxf.copywriting_master,Top Copywriting in Moments-WeChat Copywriting Material,N,
com.ruisi.encounter,More friends,N,
com.yunxin123.dudu,Toot phone,N,
com.qiyi.video,IQIYI,N,
com.telecom.video,Tianyi Ultra HD,N,
virtualgl.kidspaint,Kid drawing,N,
com.num.kid,Mathematics helps children,N,
com.hunantv.imgo.activity,Mango TV,N,
com.chaohai.drawing,My child draws the world,N,
com.fanweilin.coordinatemap,Longitude and latitude positioning,N,
com.tencent.token,QQ Security Center,N,
com.antutu.ABenchMark,AnTuTu Reviews,N,
com.cleanmaster.security_cn,Cheetah Security Master,N,
com.wanchen.zldl,Zhilian proxy IP,N,
com.thinkyeah.galleryvault,Photo safe,N,
com.ludashi.benchmark,Master Lu Android,N,
com.getv5.softwarelock,Software lock,N,
com.android.tiancity.mobilesecurity,Tiancheng Account Manager,N,
com.bczx.gobills.gobills,Gobills mobile reimbursement for Android,N,
fm.qingting.qtradio,Dragonfly FM,N,
com.tencent.tmgp.lzlzol,Liao Zhai OL: Elite Xian Xia Xiu Xian Wang Zang World Continental Game,N,
com.hexway.txpd.user,Tian Xing Doctor&#39;s Android version software,N,
com.ximalaya.ting.android,Himalaya,N,
com.yibasan.lizhifm,litchi,N,
com.kugou.android,kugou music,N,
cmccwm.mobilemusic,Migu Music,N,
com.tencent.qqmusic,QQ Music,N,
com.xaphp.yunguo,Yunguo Butler Android,N,
com.aifudao,Good score coaching for Android,N,
cn.freemud.app.xfsg.xfsgapp,Xianfeng Fruit for Android,N,
com.csquanyan.dinweishenqi,Virtual positioning tool,N,
com.jtjsb.pyqspzf,One-click forwarding of Moments videos,N,
com.sinyee.babybus.monsterII,Wonderful monster friend,N,
com.stormorai.alade,Allah&#39;s children,N,
com.pbpyq.pubei.friends.circle,Pubei Circle of Friends,N,
com.netease.boogu.socialskills,my new friend,N,
com.pengyouwanan.patient,"Goodnight, my friend",N,
com.zhimeng.tatame,tatami,N,
com.baidu.searchbox,Baidu,N,
com.UCMobile,UC browser,N,
com.ss.android.ugc.aweme,Tik Tok,N,
com.moji.mjweather,Ink weather,N,
com.smile.gifmaker,quick worker,N,
com.tencent.tmgp.sgame,King of Glory,N,
com.immomo.momo,MOMO Èôå Èôå,N,
com.tencent.mtt,QQ browser-read hot news and read free novels,N,
com.netease.newsreader.activity,NetEase News (official),N,
cn.kuwo.player,kuwo music,N,
com.pdftechnologies.pdfreaderpro,PDF Reader Pro,N,
com.droi.adocker.pro,Doppelganger Pro,N,
com.bcxin.bbdpro,Baibaodun PRO,N,
com.brt.mate,Time Handbook Pro,N,
com.lb.rIMj3,Speech to text pro,N,
com.adsafepro,Net Net Master pro,N,
com.tencent.pb,WeChat phone book,N,
com.dipiapp.pcall,Encrypted Internet Phone,N,
com.yunxin123.ggdh,Quack phone,N,
com.small.callphone,Phone trumpet,N,
com.myhexin.tellus,Answering treasure telephone assistant,N,
cn.vcinema.cinema,Pumpkin movie,N,
com.lemon.faceu,Faceu Ëêå,N,
com.meitu.meiyancamera,BeautyCam Beauty Camera,N,
com.linecorp.foodcamcn.android,Foodie,N,
com.campmobile.snowcamera,B612 Kaji,N,
com.leqi.idpicture,Smart ID photo,N,
com.benqu.wuta,Wuta Camera,N,
us.pinguo.selfie,The most beautiful selfie,N,
com.ydtx.camera,Yuandao latitude and longitude camera,N,
my.PCamera,POCO camera,N,
com.broadlearning.eclass,eClass Parent App,N,
com.broadlearning.eclassstudent,eClass Student App,N,
