appId,ml_score,sampled_language,manual_label
com.zuricate.vision,0.9670470788,zh,Y
com.yanwa.tracker,0.4234312916,zh,Y
com.webofcam,0.6794781193,zh,Y
com.alienmanfc6.wheresmyandroid,0.9645488295,zh,Y
whereareyou.tracker.tech,0.9884683004,zh,Y
com.coffeedevelopers.mywhatscan,0.5201395603,zh,Y
com.droids.whatsactivity,0.410996084,zh,Y
com.zzttz.whatsdog,0.4096746736,zh,Y
com.naragraf.cara_sadap_wa_pasangan,0.4204985308,zh,Y
com.watmobile.usage,0.5290095975,zh,Y
com.mobiusworks.mywagr,0.6631008619,zh,Y
com.ark.software.whatsapp.wmultimessengerandstatussaver,0.9938192591,zh,Y
incendo.vectir.androidclient,0.9734056944,zh,Y
com.mobilerapper,0.4619439639,zh,Y
com.wackstr.argusandroid,0.4380340241,zh,Y
com.spytecinc.spytecgps,0.4786011602,zh,Y
com.trackom.trackom,0.4459849664,zh,Y
com.trackimo.app,0.4776650639,zh,Y
com.movile.tracker,0.6232872514,zh,Y
com.saferkid.parentapp,0.8985438906,zh,Y
com.wavemarket.finder.mobile,0.9974402692,zh,Y
app.cybrook.trackview,0.9755773443,zh,Y
com.oray.sunlogin,0.9628222374,zh,Y
com.oray.sunlogin.service,0.9801488701,zh,Y
com.solidgps,0.4995123931,zh,Y
vector.media.smsmirror.app,0.9729988745,zh,Y
com.riteshsahu.SMSBackupRestorePro,0.6192664174,zh,Y
com.landairsea.silvercloud,0.8227674833,zh,Y
app.seniorsafety,0.8666602366,zh,Y
com.cocoa.saferway,0.9174605936,zh,Y
com.royalgps,0.7208341156,zh,Y
app.georadius.roadlinkgps,0.4959579155,zh,Y
xdk.himanshu.trackomframe2,0.4972767293,zh,Y
com.softmedia.remote,0.4586997791,zh,Y
com.devolutions.remotedesktopmanager,0.8716045206,zh,Y
com.recordeverycall.callrecorder,0.9889022521,zh,Y
com.protrackindia.gps,0.5946133954,zh,Y
com.peoplepowerco.presencepro,0.4349730604,zh,Y
com.securellc.phone.tracker.caller,0.9449132135,zh,Y
mg.locations.track5,0.9917034638,zh,Y
com.securekids.launcher_reloaded,0.7377822798,zh,Y
com.ourpact.androidparent,0.9998056118,zh,Y
com.codetho.automaticcallrecorder,0.9478862031,zh,Y
com.mysms.android.sms,0.6510999058,zh,Y
com.rerware.android.MyBackup,0.6025291739,zh,Y
com.phonesmschat.mobilesmschat,0.9278746302,zh,Y
com.mobiletracker.mobileapp,0.9271064474,zh,Y
com.mobilefence.family,0.9992685207,zh,Y
com.mmguardian.childapp,0.9934596029,zh,Y
com.MeyeHD.ui,0.4501756763,zh,Y
com.wsandroid.suite.tmobile,0.7443570477,zh,Y
net.location.tracker.app,0.9983708586,zh,Y
com.locate.ts,0.4619237943,zh,Y
us.FamilyTracking.FamilyLocator,0.8243666902,zh,Y
com.diamond.studio.apps.live.mobile.location.tracker,0.990790076,zh,Y
app.lifecircle,0.9462316668,zh,Y
com.ahmedaay.lazymousepro,0.6368338382,zh,Y
com.lamrod1.in,0.4325747513,zh,Y
com.ootpapps.kids.zone.app.lock,0.9953765984,zh,Y
com.kiddoware.kidsplace.remotecontrol,0.9999552357,zh,Y
com.kidslauncher.remote,0.6485855729,zh,Y
com.kms.free,0.5036554237,zh,Y
com.kaspersky.kes,0.9188306365,zh,Y
com.jiobit.app,0.7724212912,zh,Y
com.swd.tracker,0.4853021388,zh,Y
com.iSmCam,0.538726713,zh,Y
nfo.webcam,0.5257244178,zh,Y
com.ioetrack.gps,0.56427898,zh,Y
com.appsfromthebox.HomeEye,0.7315884519,zh,Y
com.craiovadata.groupmap2,0.6817046254,zh,Y
com.abs.shadowtrackingandroid,0.5670774311,zh,Y
com.superspring.gpsid,0.4629842341,zh,Y
de.gpswatch.mobileapi.sl4tx4,0.60052947,zh,Y
com.digilogsystems.vehicletracking,0.6397626765,zh,Y
in.ismarttech.gpstrackingwale,0.5812641513,zh,Y
com.marg.marggpstracker,0.6513509392,zh,Y
app.georadius.gpsplatform,0.4959579155,zh,Y
com.contigo.android,0.6800289127,zh,Y
com.gpschamp.dev,0.5924948238,zh,Y
com.google.android.apps.kids.familylink,0.7933939787,zh,Y
com.vzw.gizmopal,0.8380229235,zh,Y
com.geekslab.crpro,0.5811735617,zh,Y
com.findmyphone.findmydevice,0.9999919356,zh,Y
io.singulart.safe,0.9999999906,zh,Y
find.my.device,0.7317014021,zh,Y
com.fibercode.familytracker,0.887549143,zh,Y
com.wtrack_android,0.524749258,zh,Y
com.familylocator.gpstracker,0.9999997087,zh,Y
com.sygic.familywhere.android,0.9999857839,zh,Y
com.hvail.vehicle.usa.new,0.8464239933,zh,Y
com.mata.eye,0.4072918942,zh,Y
com.bd.easytraxstandard,0.5301033481,zh,Y
net.easyjoin.pro,0.7389443071,zh,Y
com.eagleeye.mobileapp,0.4636437342,zh,Y
com.secureapps.antitheft,0.9993950839,zh,Y
com.velocator,0.5271986196,zh,Y
com.controlchild.parentalcontrol,0.9612320884,zh,Y
com.lps.contactexporter,0.5926262436,zh,Y
