appid,title,ml_score,sampled_language,manual_label
bts.kr.co.fanlight.fanlightapp,BTS Official Lightstick,0.318518568,ar,N
ch.hbenecke.sunday,حركة الشمس، الصلوات، الهوايات,0.199696461,ar,N
com.abclocal.kgo.news,ABC7 Bay Area,0.2140112063,ar,N
com.agilx.companycam,CompanyCam,0.3010607085,ar,N
com.aloula,الأولى,0.1511243559,ar,N
com.alp.arslan,مسلسل الب ارسلان,0.2972204315,ar,N
com.amazon.imdb.tv.mobile.app,IMDb TV,0.05061335992,ar,N
com.apple.atve.androidtv.appletv,Apple TV,0.00137315228,ar,N
com.atlogis.northamerica.free,US Topo Maps,0.03938409182,ar,N
com.bestappsbox.realme.realme8.realmethemes.wallpaper,"Realme 8 Themes, Ringtones, Live Wallpapers 2021",0.004894168251,ar,N
com.caynax.a6w,تمارين عضلات البطن - بطن مسطح في المنزل,0.07745116634,ar,N
com.claytonindustries.parkrun,5K parkrunner results,0.2020042379,ar,N
com.crowdcompass.app4815162342,CrowdCompass Events,0.1090819435,ar,N
com.dacappsdev.musclecarswallpapers,Fondos de Pantalla Muscle Cars,0.3792849637,ar,N
com.dollar99games.watersortpuzzle,Water Sort Puzzle Colour,0.03742158703,ar,N
com.famobi.find500differences,العثور على الفرق - 500 الاختلافات,0.1205946025,ar,N
com.graphicsecurity.android.brandmarkapp,Brandmark,0.1231974464,ar,N
com.gulolauncher.galaxya10s,launcher Theme For Galaxy A10s,0.1092380277,ar,N
com.hazard.thaiboxer.muaythai,Muay Thai Fitness - Muay Thai At Home Workout,0.1367183151,ar,N
com.InnovativeBuild.samsunga70s,Galaxy A71 & A72 5G Wallpaper,0.04017217246,ar,N
com.innovativeTech.samsung.galaxy.m10.theme.launcher.android.wallpaper,Theme for galaxy M10 | Launcher for galaxy M10,0.009631319555,ar,N
com.kobgames.jaillife,Jail Life,0.2981035733,ar,N
com.linli.hdmovie,"Linli, full English movie",0.04020575749,ar,N
com.linmedia.newstouch.khon,KHON2 News - Honolulu HI News,0.1513639603,ar,N
com.mianthemes.samsung.galaxy.newa31.galaxytheme.samlauncher.android.wallpaper,Theme for Samsung A31 | Galaxy A31,0.04795491925,ar,N
com.michaels.michaelsstores,Michaels Stores,0.06377319915,ar,N
com.mmt.translingua,Lingvotube - ترجمة مشغل ترجمات الفيديو,0.01428104101,ar,N
com.nbcuni.nbcots.nbcphiladelphia.android,NBC10 Philadelphia,0.04767039192,ar,N
com.nintynine.a99gps,99 GPS Login,0.293143057,ar,N
com.nosignalproductions.legacytwo,Legacy 2 - The Ancient Curse,0.07442487767,ar,N
com.oraimo.infinixfit,Infinix Fit,0.3432928514,ar,N
com.particlenews.newsbreak,NewsBreak: Local News & Alerts,0.005038816307,ar,N
com.pbch.pbcheducations,Pb Ch Education,0.3089327112,ar,N
com.powerful.cleaner,Powerful Cleaner (Boost&Clean),0.06087592579,ar,N
com.rstls.imagerotator,تطبيق 360 Image Rotator / Picture Flipper,0.1268693224,ar,N
com.sumarya,Alsumaria TV قناة السومرية,0.1350725319,ar,N
com.tarasovmobile.gtd,Chaos Control: GTD Organizer & Task List Manager,0.03867087342,ar,N
com.thx.tuneup.free,THX tune-up,0.01072972331,ar,N
com.toyota_iraq.mobile_app,Toyota Iraq,0.1096017903,ar,N
com.vision247.AlMajd,هادف,0.3952570837,ar,N
com.xpp.tubeAssistant,Float Tube- Float Video Player,0.06011023457,ar,N
com.yamaha.npcontroller,NETWORK PLAYER CONTROLLER,0.1484747762,ar,N
music.audio.effect.equalizer,تأثير الموسيقى المعادل السمعية,0.02646395205,ar,N
net.p4p.abs30day.fitness.coach,Fitness Coach Abs Workout - 30 يوماً لياقة at home,0.09632015853,ar,N
org.ligi.survivalmanual,Offline Survival Manual,0.1571016302,ar,N
org.olympic.app.mobile,Olympics,0.006920123157,ar,N
sa.saed.androidapp,ساعد,0.3504427168,ar,N
tech.aorta.deaaabduallah,A1 A2 B1 B2 ضياء عبدالله,0.2616145734,ar,N
varni.media.music.mp3player.musicapp.musicplayer,Dream Music Player,0.002682666756,ar,N
younow.live,YouNow:  بث مباشر للفيديو,0.04783125522,ar,N
btfactor.realhdrcamera,Ultimate HDR Camera,0.2405378639,bn,N
com.actgames.bbrr.sgp,BlazBlue RR - Real Action Game,0.001566034611,bn,N
com.adaranet.android.droidproxyclient2,Virtual 5G,0.04660040458,bn,N
com.agilx.companycam,CompanyCam,0.3010607085,bn,N
com.avast.android.mobilesecurity,"Avast Antivirus – Scan & Remove Virus, Cleaner",0.04104584987,bn,Y
com.cbinnovations.androideraser,Data Eraser cb,0.09867933934,bn,N
com.crazylabs.twodots,2 For 2: Connect the Numbers,0.1494676482,bn,N
com.cyberlink.youcammakeup,YouCam Makeup - Selfie Editor,0.009240837486,bn,N
com.epicwaronline.ms,Mobile Strike,0.02262781353,bn,N
com.evernote,Evernote - Notes Organizer & Daily Planner,0.03006548102,bn,N
com.freeappscompany.samsung.galaxy.a21s.theme.launcher.hd.wallpaper,Theme for Galaxy A21s | Galaxy A21 s,0.07950424861,bn,N
